entry_time,exit_time,entry_price,exit_price,direction,lots,net_pnl,exit_reason
2026-04-15 19:50:00,2026-04-15 20:15:00,4433.0,4446.0,LONG,4,980.0,Signal_Close
2026-04-15 22:55:00,2026-04-16 00:50:00,4461.0,4474.0,SHORT,4,-1620.0,Signal_Close
2026-04-16 01:20:00,2026-04-16 05:35:00,4480.0,4459.0,LONG,4,-2420.0,Signal_Close
2026-04-16 05:45:00,2026-04-16 06:45:00,4454.0,4460.0,SHORT,4,-920.0,Signal_Close
2026-04-16 18:30:00,2026-04-16 22:30:00,4484.0,4477.0,LONG,5,-1275.0,Signal_Close
2026-04-16 23:45:00,2026-04-17 05:00:00,4493.0,4481.0,SHORT,3,660.0,Signal_Close
2026-04-17 05:10:00,2026-04-17 18:30:00,4478.0,4501.0,LONG,3,1485.0,Signal_Close
2026-04-17 18:45:00,2026-04-17 18:55:00,4497.0,4500.0,LONG,3,-15.0,Signal_Close
2026-04-17 19:50:00,2026-04-17 23:10:00,4469.0,4481.0,LONG,3,660.0,Signal_Close
2026-04-17 23:50:00,2026-04-18 00:45:00,4498.0,4483.0,SHORT,3,885.0,Signal_Close
2026-04-18 01:05:00,2026-04-18 01:30:00,4475.0,4462.0,SHORT,4,980.0,Signal_Close
2026-04-20 18:35:00,2026-04-20 23:25:00,4467.0,4494.0,SHORT,3,-2265.0,Signal_Close
2026-04-20 23:50:00,2026-04-21 00:00:00,4494.0,4498.0,LONG,4,80.0,Signal_Close
2026-04-21 00:10:00,2026-04-21 01:10:00,4497.0,4498.0,SHORT,5,-525.0,Signal_Close
2026-04-21 01:30:00,2026-04-21 01:55:00,4492.0,4497.0,LONG,5,225.0,Signal_Close
2026-04-21 05:05:00,2026-04-21 05:35:00,4479.0,4473.0,LONG,4,-920.0,Signal_Close
2026-04-21 18:35:00,2026-04-21 22:30:00,4528.0,4600.0,LONG,2,3440.0,Signal_Close
2026-04-21 22:40:00,2026-04-21 23:40:00,4604.0,4552.0,SHORT,1,1220.0,Signal_Close
2026-04-22 00:25:00,2026-04-22 00:40:00,4562.0,4560.0,SHORT,2,-60.0,Signal_Close
2026-04-22 00:50:00,2026-04-22 01:10:00,4562.0,4578.0,SHORT,3,-1440.0,Signal_Close
2026-04-22 01:20:00,2026-04-22 01:30:00,4581.0,4575.0,SHORT,2,140.0,Signal_Close
2026-04-22 05:05:00,2026-04-22 05:35:00,4584.0,4581.0,SHORT,2,-10.0,Signal_Close
2026-04-22 05:45:00,2026-04-22 19:40:00,4574.0,4613.0,LONG,3,2685.0,Signal_Close
2026-04-22 20:25:00,2026-04-22 22:40:00,4597.0,4606.0,LONG,5,725.0,Signal_Close
2026-04-22 23:10:00,2026-04-22 23:30:00,4613.0,4610.0,LONG,4,-620.0,Signal_Close
2026-04-22 23:55:00,2026-04-23 00:05:00,4616.0,4608.0,SHORT,5,600.0,Signal_Close
2026-04-23 00:15:00,2026-04-23 00:30:00,4625.0,4635.0,SHORT,6,-1980.0,Signal_Close
2026-04-23 00:40:00,2026-04-23 00:50:00,4634.0,4632.0,SHORT,4,-120.0,Signal_Close
2026-04-23 01:00:00,2026-04-23 01:15:00,4629.0,4622.0,SHORT,4,380.0,Signal_Close
2026-04-23 01:25:00,2026-04-23 01:55:00,4623.0,4626.0,SHORT,4,-620.0,Signal_Close
2026-04-23 05:05:00,2026-04-23 05:20:00,4633.0,4629.0,SHORT,4,80.0,Signal_Close
2026-04-23 05:40:00,2026-04-23 06:50:00,4635.0,4626.0,LONG,5,-1525.0,Signal_Close
2026-04-23 18:35:00,2026-04-23 23:55:00,4597.0,4582.0,SHORT,2,590.0,Signal_Close
2026-04-24 00:35:00,2026-04-24 01:20:00,4585.0,4587.0,LONG,4,-120.0,Signal_Close
2026-04-24 01:35:00,2026-04-24 05:10:00,4588.0,4601.0,LONG,4,980.0,Signal_Close
2026-04-24 05:35:00,2026-04-24 05:45:00,4613.0,4619.0,SHORT,4,-920.0,Signal_Close
2026-04-24 05:55:00,2026-04-24 18:35:00,4612.0,4582.0,SHORT,4,2680.0,Signal_Close
2026-04-24 18:45:00,2026-04-24 19:30:00,4582.0,4579.0,LONG,4,-620.0,Signal_Close
2026-04-24 19:40:00,2026-04-24 19:50:00,4585.0,4588.0,LONG,5,-25.0,Signal_Close
2026-04-24 20:00:00,2026-04-24 20:10:00,4593.0,4594.0,LONG,6,-330.0,Signal_Close
2026-04-24 23:35:00,2026-04-25 00:10:00,4595.0,4610.0,LONG,4,1180.0,Signal_Close
2026-04-25 01:15:00,2026-04-27 22:35:00,4605.0,4561.0,LONG,6,-7080.0,Signal_Close
2026-04-27 22:50:00,2026-04-27 23:30:00,4549.0,4544.0,LONG,4,-820.0,Signal_Close
2026-04-27 23:45:00,2026-04-27 23:55:00,4550.0,4551.0,LONG,4,-220.0,Signal_Close
2026-04-28 00:10:00,2026-04-28 01:30:00,4545.0,4538.0,SHORT,4,380.0,Signal_Close
2026-04-28 05:20:00,2026-04-28 05:30:00,4527.0,4533.0,LONG,5,350.0,Signal_Close
2026-04-28 05:40:00,2026-04-28 05:50:00,4538.0,4534.0,SHORT,5,100.0,Signal_Close
2026-04-28 06:00:00,2026-04-28 06:20:00,4527.0,4546.0,SHORT,5,-2775.0,Signal_Close
2026-04-28 06:30:00,2026-04-28 06:40:00,4542.0,4544.0,SHORT,4,-520.0,Signal_Close
2026-04-28 18:30:00,2026-04-28 20:15:00,4537.0,4497.0,LONG,5,-5400.0,Signal_Close
2026-04-28 23:20:00,2026-04-28 23:30:00,4527.0,4531.0,SHORT,2,-360.0,Signal_Close
2026-04-28 23:40:00,2026-04-28 23:50:00,4534.0,4530.0,SHORT,3,60.0,Signal_Close
2026-04-29 00:00:00,2026-04-29 01:10:00,4532.0,4535.0,SHORT,3,-465.0,Signal_Close
2026-04-29 01:20:00,2026-04-29 05:05:00,4534.0,4532.0,SHORT,3,-90.0,Signal_Close
2026-04-29 05:20:00,2026-04-29 05:30:00,4530.0,4521.0,SHORT,4,580.0,Signal_Close
2026-04-29 05:40:00,2026-04-29 06:25:00,4512.0,4525.0,SHORT,3,-1215.0,Signal_Close
2026-04-29 06:35:00,2026-04-29 06:45:00,4520.0,4517.0,SHORT,4,-20.0,Signal_Close
2026-04-29 18:35:00,2026-04-29 19:50:00,4502.0,4523.0,LONG,4,1780.0,Signal_Close
2026-04-30 00:25:00,2026-04-30 00:35:00,4559.0,4565.0,LONG,3,210.0,Signal_Close
2026-04-30 00:45:00,2026-04-30 01:25:00,4564.0,4570.0,LONG,3,210.0,Signal_Close
2026-04-30 05:25:00,2026-04-30 05:35:00,4582.0,4583.0,SHORT,3,-315.0,Signal_Close
2026-04-30 05:45:00,2026-04-30 06:25:00,4575.0,4564.0,LONG,4,-1420.0,Signal_Close
2026-04-30 06:40:00,2026-04-30 06:55:00,4564.0,4571.0,SHORT,5,-1275.0,End_Of_Data
